PaddleX,ActionX,BallsData
0.5999995,1,0.8614035:-1.41402
0.8999994,1,0.8614035:-1.796333
1.199999,1,0.8614035:-2.046738
1.499999,1,0.8614035:-2.219394
1.799999,0,0.8614035:-2.611882
1.799999,0,0.8614035:-2.871638
1.799999,0,0.8614035:-3.056066
1.799999,0,
1.799999,0,
1.799999,0,
1.799999,0,7.188538:5.956453
1.799999,0,7.188538:5.850416
1.799999,0,7.188538:5.738142
1.799999,0,7.188538:5.625078
1.799999,0,7.188538:5.526407
1.799999,0,7.188538:5.384738
1.799999,0,7.188538:5.321317
1.799999,0,7.188538:5.13597
1.799999,0,7.188538:5.005032
1.799999,0,7.188538:4.929956
1.799999,0,7.188538:4.740659
1.799999,0,7.188538:4.594679
1.799999,0,7.188538:4.444486
1.799999,0,7.188538:4.29242
1.799999,0,7.188538:4.136311
1.799999,0,7.188538:3.976789
1.799999,0,7.188538:3.813971
1.799999,0,7.188538:3.646957
1.799999,1,7.188538:3.491219
2.099999,1,7.188538:3.306182
2.399999,1,7.188538:3.20566
2.699999,1,7.188538:2.943521
2.999999,1,7.188538:2.771686
3.299999,1,7.188538:2.681434
3.599999,1,7.188538:2.380418
3.899999,1,7.188538:2.176856
4.199999,1,7.188538:1.971239
4.499999,1,7.188538:1.760154
4.799998,1,7.188538:1.548256
5.099998,1,7.188538:1.331482
5.399998,1,7.188538:1.1321
5.699997,1,7.188538:0.9008896
5.999997,1,7.188538:0.6747587
6.299997,1,7.188538:0.4433052
6.599997,1,7.188538:0.2074713
6.899996,1,7.188538:-0.01503601
7.199996,1,7.188538:-0.2590724
7.499996,1,7.188538:-0.5105823
7.799995,1,7.188538:-0.7650052
8.099996,0,7.188538:-1.008414
8.099996,0,7.188538:-1.272298
8.099996,0,7.188538:-1.534367
8.099996,0,7.188538:-1.801691
8.099996,0,7.188538:-2.011009
8.099996,0,7.188538:-2.183665
8.099996,0,7.188538:-2.61168
8.099996,0,7.188538:-2.896627
8.099996,0,7.188538:-3.185384
8.099996,0,
8.099996,0,
8.099996,0,2.099657:5.967228
8.099996,0,2.099657:5.851501
8.099996,0,2.099657:5.823367
8.099996,0,2.099657:5.629892
8.099996,0,2.099657:5.532836
8.099996,0,2.099657:5.513216
8.099996,0,2.099657:5.273455
8.099996,0,2.099657:5.144859
8.099996,0,2.099657:5.00073
8.099996,0,2.099657:4.888492
8.099996,0,2.099657:4.849252
8.099996,0,2.099657:4.589899
8.099996,0,2.099657:4.483618
8.099996,-1,2.099657:4.285452
7.799996,-1,2.099657:4.148511
7.499996,-1,2.099657:3.976544
7.199996,-1,2.099657:3.813022
6.899997,-1,2.099657:3.706391
6.599997,-1,2.099657:3.635759
6.299997,-1,2.099657:3.304174
5.999998,-1,2.099657:3.116299
5.699998,-1,2.099657:2.948935
5.399998,-1,2.099657:2.760871
5.099998,-1,2.099657:2.566428
4.799999,-1,2.099657:2.371286
4.499999,-1,2.099657:2.171723
4.199999,-1,2.099657:1.969491
3.899999,-1,2.099657:1.762977
3.599999,-1,2.099657:1.54921
3.299999,0,2.099657:1.346469
3.299999,0,2.099657:1.125379
3.299999,0,2.099657:0.9000961
3.299999,0,2.099657:0.6706006
3.299999,0,2.099657:0.5213342
3.299999,0,2.099657:0.2245634
3.299999,0,2.099657:-0.017212
3.299999,0,2.099657:-0.2626779
3.299999,0,2.099657:-0.5114927
3.299999,0,2.099657:-0.7612131
3.299999,0,2.099657:-1.014938
3.299999,0,2.099657:-1.272487
3.299999,0,2.099657:-1.536703
3.299999,0,2.099657:-1.783153
3.299999,-1,2.099657:-2.0594
3,-1,2.099657:-2.295251
2.7,-1,2.099657:-2.615819
2.4,-1,2.099657:-2.899368
2.1,0,2.099657:-3.106498
2.1,0,
2.1,0,
2.1,0,
2.1,0,7.354357:5.918615
2.1,0,7.354357:5.855464
2.1,0,7.354357:5.847616
2.1,0,7.354357:5.611794
2.1,0,7.354357:5.484023
2.1,0,7.354357:5.44549
2.1,0,7.354357:5.23828
2.1,0,7.354357:5.13216
2.1,0,7.354357:5.100768
2.1,0,7.354357:5.065452
2.1,0,7.354357:4.701727
2.1,0,7.354357:4.559179
2.1,0,7.354357:4.406995
2.1,0,7.354357:4.250926
2.1,0,7.354357:4.112251
2.1,0,7.354357:3.946203
2.1,0,7.354357:3.786088
2.1,0,7.354357:3.610371
2.1,0,7.354357:3.455769
2.1,0,7.354357:3.277051
2.1,1,7.354357:3.089069
2.4,1,7.354357:2.944284
2.7,1,7.354357:2.723226
3,1,7.354357:2.530158
3.299999,1,7.354357:2.396358
3.599999,1,7.354357:2.298258
3.899999,1,7.354357:1.943041
4.199999,1,7.354357:1.732683
4.499999,1,7.354357:1.522715
4.799999,1,7.354357:1.305701
5.099998,1,7.354357:1.086646
5.399998,1,7.354357:0.861796
5.699998,1,7.354357:0.6513305
5.999998,1,7.354357:0.4180872
6.299997,1,7.354357:0.1837263
6.599997,1,7.354357:-0.05878061
6.899997,1,7.354357:-0.3008765
7.199996,1,7.354357:-0.5491568
7.499996,0,7.354357:-0.7887507
7.499996,0,7.354357:-1.050666
7.499996,0,7.354357:-1.301707
7.499996,0,7.354357:-1.565392
7.499996,0,7.354357:-1.770598
7.499996,0,7.354357:-1.93933
7.499996,0,7.354357:-2.364236
7.499996,0,7.354357:-2.643177
7.499996,0,7.354357:-2.926069
7.499996,0,7.354357:-3.214509
7.499996,0,
7.499996,0,
7.499996,0,-1.566005:5.937381
7.499996,0,-1.566005:5.933457
7.499996,0,-1.566005:5.728653
7.499996,0,-1.566005:5.636362
7.499996,0,-1.566005:5.49461
7.499996,0,-1.566005:5.369105
7.499996,0,-1.566005:5.264674
7.499996,0,-1.566005:5.116919
7.499996,0,-1.566005:5.045754
7.499996,0,-1.566005:5.010438
7.499996,0,-1.566005:4.722064
7.499996,0,-1.566005:4.599871
7.499996,0,-1.566005:4.4293
7.499996,0,-1.566005:4.276446
7.499996,0,-1.566005:4.120459
7.499996,0,-1.566005:3.958733
7.499996,0,-1.566005:3.797346
7.499996,0,-1.566005:3.62805
7.499996,0,-1.566005:3.473724
7.499996,0,-1.566005:3.296241
7.499996,0,-1.566005:3.116274
7.499996,-1,-1.566005:2.920686
7.199996,-1,-1.566005:2.756112
6.899997,-1,-1.566005:2.66586
6.599997,-1,-1.566005:2.364054
6.299997,-1,-1.566005:2.184025
5.999998,-1,-1.566005:1.956293
5.699998,-1,-1.566005:1.750056
5.399998,-1,-1.566005:1.541384
5.099998,-1,-1.566005:1.328439
4.799999,-1,-1.566005:1.107864
4.499999,-1,-1.566005:0.8852191
4.199999,-1,-1.566005:0.6572072
3.899999,-1,-1.566005:0.4271393
3.599999,-1,-1.566005:0.2115324
3.299999,-1,-1.566005:-0.02853142
3,-1,-1.566005:-0.2778158
2.7,-1,-1.566005:-0.5256076
2.4,-1,-1.566005:-0.775274
2.1,-1,-1.566005:-1.031045
1.8,-1,-1.566005:-1.288154
1.5,-1,-1.566005:-1.550379
1.2,-1,-1.566005:-1.797894
0.8999999,-1,-1.566005:-2.072281
0.6,-1,-1.566005:-2.347008
0.3000001,-1,-1.566005:-2.625593
2.384186E-07,-1,-1.566005:-2.913869
-0.2999997,-1,-1.566005:-3.181226
-0.5999995,-1,
-0.8999994,-1,
-1.199999,-1,4.136837:5.939559
-1.499999,-1,4.136837:5.848254
-1.799999,-1,4.136837:5.736297
-2.099999,-1,4.136837:5.618681
-2.399999,-1,4.136837:5.502127
-2.699999,-1,4.136837:5.393356
-2.999999,-1,4.136837:5.329992
-3.299999,0,4.136837:5.131135
-3.299999,0,4.136837:5.01385
-3.299999,0,4.136837:4.978534
-3.299999,0,4.136837:4.730817
-3.299999,0,4.136837:4.60766
-3.299999,0,4.136837:4.439715
-3.299999,0,4.136837:4.285392
-3.299999,0,4.136837:4.126449
-3.299999,0,4.136837:3.965172
-3.299999,0,4.136837:3.803615
-3.299999,0,4.136837:3.654578
-3.299999,0,4.136837:3.479757
-3.299999,0,4.136837:3.295485
-3.299999,0,4.136837:3.115084
-3.299999,0,4.136837:2.929392
-3.299999,0,4.136837:2.744313
